"person_id","sex","screening_date","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","years_since_last_crime","six_month","one_year","three_year","five_year","recid_use"
5650,0,2013-08-07,26,18,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,4,10,0,0,0,0,0,0,0,0,0,0,0.46047227926078,1,1,1,1,"0"
688,0,2013-04-17,24,18,23,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,14,2,6,0,8,39,0,0,0,0,0,0,0,0,0,0,0.457734428473648,1,1,1,1,"1"
3854,0,2013-01-17,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
5308,0,2013-01-20,32,21,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,2,7,21,0,0,0,0,0,0,0,0,0,0,0.857973990417522,0,1,1,1,"1"
2281,0,2013-02-25,23,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0.812970568104038,0,1,1,1,"1"
2503,1,2014-01-05,29,21,21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0.146303901437372,1,1,1,1,"1"
4553,0,2013-04-27,31,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,1.49880219028063,0,0,1,1,"0"
944,0,2014-01-03,26,19,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,5,10,0,0,0,1,0,0,0,0,0,0,1.39082819986311,0,0,1,1,"0"
925,0,2013-04-18,34,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0.915468856947296,0,1,1,1,"0"
5982,0,2013-05-08,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68309377138946,0,0,0,1,"1"
1526,0,2013-12-12,34,27,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,11,0,0,0,0,0,0,0,0,0,0,3.82118412046543,0,0,0,1,"0"
1140,0,2013-05-17,68,49,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,23,0,0,0,0,0,0,0,0,0,0,1.4194045174538,0,0,1,1,"0"
6229,0,2013-03-18,35,29,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,9,16,0,0,0,0,0,0,0,0,0,0,3.3184462696783,0,0,0,1,"1"
2402,0,2013-05-28,43,21,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,1,17,25,0,0,0,1,0,0,0,0,0,0,1.95773442847365,0,0,1,1,"0"
5685,0,2013-05-28,35,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,4.3266598220397,0,0,0,1,"0"
3859,0,2014-01-28,36,30,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0.438569472963723,1,1,1,1,"1"
5700,1,2013-02-19,22,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,1.76368925393566,0,0,1,1,"1"
5877,0,2013-03-02,32,17,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1,13,33,0,0,0,3,0,0,0,0,0,0,4.24058863791923,0,0,0,1,"0"
6105,0,2013-10-10,26,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.530116358658453,0,1,1,1,"0"
1082,0,2013-09-29,47,32,18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,24,15,8,4,23,72,0,0,0,1,0,0,0,0,0,0,2.80749486652977,0,0,1,1,"1"
3749,0,2013-03-14,29,29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
6135,0,2013-09-18,27,20,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,8,5,10,24,0,0,0,0,0,0,0,0,0,0,4.9072553045859,0,0,0,1,"1"
5380,0,2013-04-06,25,16,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,18,8,7,9,15,44,0,0,0,0,0,0,0,0,0,0,2.94678302532512,0,0,1,1,"1"
3692,0,2013-02-20,38,27,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,9,16,0,0,0,0,0,0,0,0,0,0,2.53011635865845,0,0,1,1,"1"
937,0,2013-12-25,27,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,4,17,0,0,0,0,0,0,0,0,0,0,1.22142368240931,0,0,1,1,"1"
39,0,2013-02-20,23,16,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,1,7,20,0,0,0,0,0,0,0,0,0,0,0.915468856947296,0,1,1,1,"1"
6442,0,2013-05-03,21,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1048,0,2013-10-09,42,29,16,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,24,8,14,2,22,37,0,0,0,0,0,0,0,0,0,0,0.435831622176591,1,1,1,1,"0"
4319,0,2013-12-27,54,51,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,8,0,0,0,1,0,0,0,0,0,0,1.48511293634497,0,0,1,1,"0"
1648,0,2013-11-16,46,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1880,0,2013-11-04,18,15,13,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0.162731006160164,1,1,1,1,"1"
5507,0,2013-01-01,40,30,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,14,0,0,0,0,0,0,0,0,0,0,0.874401095140315,0,1,1,1,"0"
703,0,2013-12-12,60,47,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,12,0,0,0,1,0,0,0,0,0,0,0.0109514031485284,1,1,1,1,"0"
4290,0,2013-01-10,26,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.20773442847365,0,0,1,1,"1"
4797,0,2013-04-14,30,21,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,1,8,11,0,0,0,0,0,0,0,0,0,0,0.21047227926078,1,1,1,1,"1"
4067,0,2014-01-26,29,20,16,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0.468685831622177,1,1,1,1,"1"
3738,0,2013-12-31,26,18,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,2,17,38,0,0,0,0,0,0,0,0,0,0,0.121663244353183,1,1,1,1,"1"
4980,0,2013-12-05,27,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0.877138945927447,0,1,1,1,"0"
633,1,2013-04-29,55,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3.31297056810404,0,0,0,1,"0"
2009,0,2013-02-01,29,18,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,3,0,3,17,0,0,0,0,0,0,0,0,0,0,1.36892539356605,0,0,1,1,"1"
6073,0,2013-12-15,40,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2.19404517453799,0,0,1,1,"0"
1332,0,2014-01-24,31,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0.399041752224504,1,1,1,1,"1"
2793,0,2013-02-03,27,20,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,4,17,38,0,0,0,2,0,0,0,0,0,0,6.78832991101985,0,0,0,0,"0"
1051,0,2013-03-18,30,20,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0.379876796714579,1,1,1,1,"1"
181,0,2014-02-20,24,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,3,12,17,0,0,0,0,0,0,0,0,0,0,3.45773442847365,0,0,0,1,"0"
1179,0,2013-03-31,34,25,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,3.43035592060233,0,0,0,1,"0"
847,0,2013-01-25,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,3.28011635865845,0,0,0,1,"0"
4320,0,2013-05-03,31,21,12,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,18,3,16,2,19,45,0,0,0,0,0,0,0,0,0,0,0.258213552361396,1,1,1,1,"0"
6463,0,2013-05-25,28,22,13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20,7,8,4,15,54,0,0,0,0,0,0,0,0,0,0,3.62713894592745,0,0,0,1,"1"
5381,0,2013-03-31,35,29,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0.941307323750856,0,1,1,1,"0"
1499,0,2013-09-19,27,23,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,7,11,0,0,0,0,0,0,0,0,0,0,0.715947980835045,0,1,1,1,"1"
4730,0,2014-01-08,18,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.649041752224504,0,1,1,1,"1"
4329,0,2013-09-27,28,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,0,9,21,0,0,0,0,0,0,0,0,0,0,0.427618069815195,1,1,1,1,"0"
4826,0,2013-03-01,28,21,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,2,6,23,0,0,0,0,0,0,0,0,0,0,4.21321013004791,0,0,0,1,"1"
4586,0,2013-04-27,54,47,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,10,14,26,0,0,0,1,0,0,0,0,0,0,0.732375085557837,0,1,1,1,"0"
4076,0,2013-02-18,30,26,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,2,5,19,0,0,0,0,0,0,0,0,0,0,1.59428473648186,0,0,1,1,"1"
241,1,2013-03-10,23,19,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0.110711841204654,1,1,1,1,"1"
1904,0,2013-01-16,28,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.1654688569473,0,0,1,1,"0"
5130,0,2013-09-11,37,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1.40177960301164,0,0,1,1,"1"
1166,0,2014-03-11,25,21,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,5,17,0,0,0,0,0,0,0,0,0,0,1.02737850787132,0,0,1,1,"0"
6114,1,2013-08-21,38,21,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,1,7,15,0,0,0,0,0,0,0,0,0,0,8.73237508555784,0,0,0,0,"0"
1629,0,2014-02-09,25,21,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"1"
701,0,2013-09-11,26,21,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,13,0,0,0,0,0,0,0,0,0,0,3.36618754277892,0,0,0,1,"0"
5942,0,2014-03-18,24,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,4.62713894592745,0,0,0,1,"1"
2084,0,2014-03-02,30,30,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0.271902806297057,1,1,1,1,"0"
3488,0,2013-07-15,33,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0.474161533196441,1,1,1,1,"0"
3291,0,2013-04-04,34,30,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,16,6,4,10,10,25,0,0,0,0,0,0,0,0,0,0,0.949520876112252,0,1,1,1,"1"
457,0,2013-08-16,41,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
2279,0,2014-03-22,32,31,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0,1,1,"0"
4574,0,2013-01-13,28,23,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,2,8,1,11,36,0,0,0,1,0,0,0,0,0,0,1.68856947296372,0,0,1,1,"0"
1730,0,2014-03-04,45,28,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,5,3,0,8,22,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,1,1,1,1,"0"
4342,0,2013-09-08,20,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.954996577686516,0,1,1,1,"0"
6368,0,2013-05-26,23,21,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,5,10,28,0,0,0,2,0,0,0,0,0,0,1.05475701574264,0,0,1,1,"1"
5423,0,2013-11-22,57,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1.19678302532512,0,0,1,1,"0"
1111,0,2013-04-01,45,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
2804,0,2014-02-26,42,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,5,11,0,0,0,1,0,0,0,0,0,0,10.7664271047228,0,0,0,0,"0"
837,0,2013-11-17,44,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0.390828199863107,1,1,1,1,"1"
122,0,2013-04-18,27,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,6,7,28,0,0,0,0,0,0,0,0,0,0,0.807494866529774,0,1,1,1,"1"
4739,0,2013-03-13,22,15,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,22,2,23,42,0,0,0,0,0,0,0,0,0,0,0.777378507871321,0,1,1,1,"0"
1781,0,2013-03-30,30,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
497,1,2013-04-04,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,2.46868583162218,0,0,1,1,"0"
1655,0,2013-01-22,20,17,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.36071184120465,0,0,1,1,"0"
4761,0,2013-04-12,27,23,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0.404517453798768,1,1,1,1,"1"
306,0,2013-04-18,23,22,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0.852498288843258,0,1,1,1,"0"
4805,0,2013-10-27,32,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
5974,0,2013-08-09,19,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
4381,0,2013-07-22,53,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,3.74058863791923,0,0,0,1,"0"
1565,0,2013-10-29,33,24,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,2,16,0,18,55,0,0,0,0,0,0,0,0,0,0,2.57939767282683,0,0,1,1,"1"
6296,0,2013-08-25,28,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0.352498288843258,1,1,1,1,"1"
4530,0,2013-11-27,23,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0.149041752224504,1,1,1,1,"0"
3642,0,2014-02-07,38,34,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,1.74880219028063,0,0,1,1,"1"
6046,0,2013-02-01,46,27,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,3,12,3,15,33,0,0,0,0,0,0,0,0,0,0,4.56297056810404,0,0,0,1,"0"
3291,0,2014-02-13,35,30,13,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,18,6,4,10,10,30,0,0,0,0,0,0,0,0,0,0,0.857973990417522,0,1,1,1,"0"
5812,0,2013-10-16,47,42,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,9,0,0,0,0,0,0,0,0,0,0,0.996064339493498,0,1,1,1,"1"
3354,0,2013-09-06,26,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,1.55201916495551,0,0,1,1,"0"
2454,0,2013-06-14,29,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.6694045174538,0,0,1,1,"1"
2901,0,2013-03-23,23,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
3248,0,2014-03-26,68,55,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,2,12,22,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0,1,1,1,"1"
2361,1,2013-08-11,46,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1.83607118412047,0,0,1,1,"1"
5518,0,2013-08-26,28,24,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,3.81297056810404,0,0,0,1,"0"
5495,0,2013-05-30,57,31,19,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,25,10,8,3,18,29,0,0,0,0,0,0,0,0,0,0,0.44678302532512,1,1,1,1,"1"
5839,0,2013-02-12,32,25,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,0,5,16,0,0,0,0,0,0,0,0,0,0,1.97416153319644,0,0,1,1,"0"
3714,0,2013-04-05,50,34,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0.771902806297057,0,1,1,1,"0"
382,1,2014-03-12,21,16,11,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,7,3,7,1,11,25,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1,1,"0"
5436,1,2013-05-02,51,48,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,0,0,0,1,0,0,0,0,0,0,0.252737850787132,1,1,1,1,"0"
874,0,2013-03-06,23,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0.349760438056126,1,1,1,1,"1"
2376,0,2013-08-13,23,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,1,7,34,0,0,0,1,0,0,0,0,0,0,2.03832991101985,0,0,1,1,"1"
3779,0,2014-03-19,25,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,2.0684462696783,0,0,1,1,"1"
6251,0,2013-10-05,30,21,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0.818446269678303,0,1,1,1,"0"
3975,0,2013-12-21,25,20,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0.737850787132101,0,1,1,1,"1"
6171,1,2013-06-21,42,42,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.352498288843258,1,1,1,1,"0"
5738,0,2013-09-09,49,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
546,0,2013-04-22,33,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6.95773442847365,0,0,0,0,"0"
1948,0,2013-02-05,50,40,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1.57392197125257,0,0,1,1,"0"
1915,0,2013-04-19,32,31,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,3,8,0,0,0,0,0,0,0,0,0,0,1.00547570157426,0,0,1,1,"0"
990,1,2014-01-09,43,40,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,3.13535249828884,0,0,0,1,"0"
5857,0,2014-01-11,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1.79654346338125,0,0,1,1,"0"
